epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,100.608,0.69793,0.77695,0.00752,0.76161,0.4722,0.76569,0.54312,1.72032,1.50134,0.01439,2.11444e-05,2.11444e-05,2.11444e-05
80,102.207,0.9346,0.83121,0.01138,0.76161,0.4722,0.76569,0.54312,1.72032,1.50134,0.01439,2.04848e-05,2.04848e-05,2.04848e-05
81,103.654,0.86971,0.90951,0.01483,0.77183,0.46392,0.75687,0.54238,1.70218,1.48598,0.01413,1.98016e-05,1.98016e-05,1.98016e-05
82,104.986,0.80006,0.53057,0.01276,0.77183,0.46392,0.75687,0.54238,1.70218,1.48598,0.01413,1.90949e-05,1.90949e-05,1.90949e-05
83,106.17,0.96139,1.87228,0.01264,0.77183,0.46392,0.75687,0.54238,1.70218,1.48598,0.01413,1.83646e-05,1.83646e-05,1.83646e-05
84,107.796,0.73204,0.95668,0.01134,0.94088,0.4655,0.70116,0.49404,1.71909,1.60702,0.01467,1.76107e-05,1.76107e-05,1.76107e-05
85,109.363,0.82401,1.36282,0.0092,0.94088,0.4655,0.70116,0.49404,1.71909,1.60702,0.01467,1.68333e-05,1.68333e-05,1.68333e-05
86,110.935,1.1472,1.96734,0.02216,0.94088,0.4655,0.70116,0.49404,1.71909,1.60702,0.01467,1.60323e-05,1.60323e-05,1.60323e-05
87,112.252,1.09635,1.36663,0.01342,0.94088,0.4655,0.70116,0.49404,1.71909,1.60702,0.01467,1.52077e-05,1.52077e-05,1.52077e-05
88,113.973,1.01961,1.26043,0.01485,0.67503,0.4828,0.67382,0.4601,1.6805,1.72575,0.01404,1.43596e-05,1.43596e-05,1.43596e-05
89,115.393,1.18832,1.62949,0.01681,0.67503,0.4828,0.67382,0.4601,1.6805,1.72575,0.01404,1.34879e-05,1.34879e-05,1.34879e-05
90,116.914,0.86509,1.04278,0.00911,0.67503,0.4828,0.67382,0.4601,1.6805,1.72575,0.01404,1.25927e-05,1.25927e-05,1.25927e-05
91,118.52,0.65716,0.48475,0.00943,0.67503,0.4828,0.67382,0.4601,1.6805,1.72575,0.01404,1.16739e-05,1.16739e-05,1.16739e-05
92,120.486,0.51977,0.5205,0.00567,0.59863,0.49985,0.67107,0.47553,1.8214,1.5443,0.01524,1.07315e-05,1.07315e-05,1.07315e-05
93,122.135,0.88503,0.93565,0.01671,0.59863,0.49985,0.67107,0.47553,1.8214,1.5443,0.01524,9.76562e-06,9.76562e-06,9.76562e-06
94,124.007,0.62619,0.50767,0.00626,0.59863,0.49985,0.67107,0.47553,1.8214,1.5443,0.01524,8.77613e-06,8.77613e-06,8.77613e-06
95,125.321,1.13332,0.87768,0.01901,0.59863,0.49985,0.67107,0.47553,1.8214,1.5443,0.01524,7.76308e-06,7.76308e-06,7.76308e-06
96,126.601,0.77526,0.60956,0.01147,0.56455,0.49859,0.65723,0.47686,1.85306,1.51426,0.01594,6.72648e-06,6.72648e-06,6.72648e-06
97,127.98,0.64694,0.40878,0.00716,0.56455,0.49859,0.65723,0.47686,1.85306,1.51426,0.01594,5.6663e-06,5.6663e-06,5.6663e-06
98,129.279,0.78275,0.62089,0.01409,0.56455,0.49859,0.65723,0.47686,1.85306,1.51426,0.01594,4.58257e-06,4.58257e-06,4.58257e-06
99,130.564,0.84008,0.57141,0.00973,0.56455,0.49859,0.65723,0.47686,1.85306,1.51426,0.01594,3.47528e-06,3.47528e-06,3.47528e-06
100,131.806,0.68232,0.62028,0.0067,0.57095,0.49941,0.68542,0.49068,1.80394,1.4778,0.01504,2.34442e-06,2.34442e-06,2.34442e-06
